value,throughput,read_throughput,write_throughput,read_ios,write_ios,cache_misses,runtime,runtime_per_op,read_runtime_per_op,write_runtime_per_op
10,6513.992549999999,7165.73,3.78,541.0,2.0,,24.728169918060303,24.181836,0.14,264.336
5,16261.688020000001,6613.42,64387.48,435.0,0.0,,0.658473014831543,0.128455,0.151,0.016
1,1227.7649999999999,2434.79,20.74,288.0,2.0,,24.793657064437866,24.314,0.411,48.217
0.2,52883.258760000004,5765.68,62329.4,91.0,0.0,,0.6153919696807861,0.04221899999999999,0.173,0.016
0.1,565.38184,5865.07,34.83,53.0,2.0,,26.23873996734619,26.112042000000002,0.171,28.709
