value,throughput,read_throughput,write_throughput,read_ios,write_ios,cache_misses,runtime,runtime_per_op,read_runtime_per_op,write_runtime_per_op
uniform,3620.9,7222.91,18.89,274.0,2.0,,27.074679136276245,26.5415,0.138,52.945
skewed,37163.62,5465.13,68862.11,236.0,0.0,,0.6535239219665527,0.099,0.183,0.015
