value,throughput,read_throughput,write_throughput,read_ios,write_ios,cache_misses,runtime,runtime_per_op,read_runtime_per_op,write_runtime_per_op
uniform,1183.01,2344.66,21.36,332.0,2.0,,24.10430097579956,23.6215,0.427,46.816
skewed,43195.475,7344.25,79046.7,254.0,0.0,,0.6148409843444824,0.0745,0.136,0.013
