value,throughput,read_throughput,write_throughput,read_ios,write_ios,cache_misses,runtime,runtime_per_op,read_runtime_per_op,write_runtime_per_op
1,1364.1,2708.99,19.21,297.0,2.0,,26.69740891456604,26.219,0.369,52.069
2,37575.15,6928.56,68221.74,292.0,0.0,,0.6164960861206055,0.0795,0.144,0.015
4,3816.805,7612.82,20.79,284.0,2.0,,24.67934513092041,24.121,0.131,48.111
8,18508.4,3698.61,33318.19,272.0,0.0,,0.6567649841308594,0.15,0.27,0.03
16,3867.12,7714.86,19.38,316.0,2.0,,26.40719485282898,25.8685,0.13,51.607
