value,throughput,read_throughput,write_throughput,read_ios,write_ios,cache_misses,runtime,runtime_per_op,read_runtime_per_op,write_runtime_per_op
2,1646.94,383.37,2910.51,269.0,0.0,,2.8358750343322754,1.476,2.608,0.344
4,3712.875,7404.65,21.1,307.0,2.0,,24.298094987869263,23.7605,0.135,47.386
6,37591.740000000005,5059.71,70123.77,289.0,0.0,,0.6129970550537109,0.106,0.198,0.014
8,3888.7850000000003,7756.68,20.89,317.0,2.0,,24.549657106399536,23.9985,0.129,47.868
10,30911.8,3438.17,58385.43,283.0,0.0,,0.6460490226745605,0.154,0.291,0.017
