value,throughput,read_throughput,write_throughput,read_ios,write_ios,cache_misses,runtime,runtime_per_op,read_runtime_per_op,write_runtime_per_op
4096,35737.18,7057.33,64417.03,255.0,0.0,,0.6153080463409424,0.079,0.142,0.016
16384,4031.19,8042.42,19.96,309.0,2.0,,25.63977289199829,25.108,0.124,50.092
65536,49403.425,7017.58,91789.27,286.0,0.0,,0.6147117614746094,0.0765,0.142,0.011
262144,3694.785,7368.73,20.84,283.0,2.0,,24.59929609298706,24.0565,0.136,47.977
1048576,40744.685,6743.65,74745.72,250.0,0.0,,0.6150310039520264,0.0805,0.148,0.013
4194304,3835.08,7649.48,20.68,299.0,2.0,,24.78182101249695,24.247,0.131,48.363
16777216,49132.565,6860.33,91404.8,269.0,0.0,,0.6113936901092529,0.0785,0.146,0.011
104857600,3961.8050000000003,7902.93,20.68,310.0,2.0,,24.783318042755127,24.2465,0.127,48.366
